Date,BASFClose
2019-01-02,42.017372131347656
2019-01-03,41.532981872558594
2019-01-04,43.7265739440918
2019-01-07,43.52589416503906
2019-01-08,43.747337341308594
2019-01-09,43.823455810546875
2019-01-10,43.94108963012695
2019-01-11,43.6158561706543
2019-01-14,43.32522201538086
2019-01-15,43.5950927734375
2019-01-16,43.50514221191406
2019-01-17,43.5950927734375
2019-01-18,45.394256591796875
2019-01-21,45.08286666870117
2019-01-22,44.52235794067383
2019-01-23,43.705810546875
2019-01-24,43.934173583984375
2019-01-25,45.041343688964844
2019-01-28,44.66075134277344
2019-01-29,45.145145416259766
2019-01-30,45.33198165893555
2019-01-31,44.16252136230469
2019-02-01,44.626155853271484
2019-02-04,44.80607223510742
2019-02-05,45.781776428222656
2019-02-06,45.567256927490234
2019-02-07,43.705810546875
2019-02-08,43.29062271118164
2019-02-11,43.80961227416992
2019-02-12,44.97907257080078
2019-02-13,44.875267028808594
2019-02-14,44.646907806396484
2019-02-15,45.89249038696289
2019-02-18,45.7679328918457
2019-02-19,45.57417678833008
2019-02-20,45.89249038696289
2019-02-21,45.49113464355469
2019-02-22,45.15206527709961
2019-02-25,44.8337516784668
2019-02-26,46.75054931640625
2019-02-27,46.556793212890625
2019-02-28,46.35612106323242
2019-03-01,47.09654235839844
2019-03-04,47.26953887939453
2019-03-05,47.144981384277344
2019-03-06,47.110382080078125
2019-03-07,46.40455627441406
2019-03-08,45.94784927368164
2019-03-11,46.26615905761719
2019-03-12,46.224647521972656
2019-03-13,46.418399810791016
2019-03-14,45.80253219604492
2019-03-15,46.71595764160156
2019-03-18,46.32843780517578
2019-03-19,46.916629791259766
2019-03-20,46.70903015136719
2019-03-21,46.418399810791016
2019-03-22,45.33198165893555
2019-03-25,45.200504302978516
2019-03-26,45.16590118408203
2019-03-27,45.06210708618164
2019-03-28,45.35274124145508
2019-03-29,45.34581756591797
2019-04-01,46.12776565551758
2019-04-02,46.48760223388672
2019-04-03,48.00304412841797
2019-04-04,47.83005142211914
2019-04-05,48.06532287597656
2019-04-08,47.89925003051758
2019-04-09,47.54633331298828
2019-04-10,47.629371643066406
2019-04-11,48.169124603271484
2019-04-12,49.67765426635742
2019-04-15,49.92676544189453
2019-04-16,50.466514587402344
2019-04-17,51.15849685668945
2019-04-18,51.31766128540039
2019-04-23,51.5460090637207
2019-04-24,50.63258743286133
2019-04-25,50.348876953125
2019-04-26,50.39039611816406
2019-04-29,50.155120849609375
2019-04-30,50.16203689575195
2019-05-02,50.05132293701172
2019-05-03,50.42499923706055
2019-05-06,49.94007110595703
2019-05-07,48.09445571899414
2019-05-08,48.297119140625
2019-05-09,47.42135238647461
2019-05-10,47.21146011352539
2019-05-13,45.706024169921875
2019-05-14,45.69878387451172
2019-05-15,46.01000213623047
2019-05-16,46.755489349365234
2019-05-17,46.002769470214844
2019-05-20,44.823020935058594
2019-05-21,45.03291320800781
2019-05-22,44.90264129638672
2019-05-23,43.831459045410156
2019-05-24,43.954498291015625
2019-05-27,44.14268112182617
2019-05-28,43.346534729003906
2019-05-29,43.114925384521484
2019-05-30,43.29587173461914
2019-05-31,42.74580764770508
2019-06-03,42.81094741821289
2019-06-04,44.38152313232422
2019-06-05,44.19334411621094
2019-06-06,44.06306838989258
2019-06-07,44.352577209472656
2019-06-11,45.43822479248047
2019-06-12,44.83749771118164
2019-06-13,44.613128662109375
2019-06-14,43.773555755615234
2019-06-17,43.41167449951172
2019-06-18,44.57694625854492
2019-06-19,45.01844024658203
2019-06-20,45.2645263671875
2019-06-21,45.37308883666992
2019-06-24,44.909873962402344
2019-06-25,44.685508728027344
2019-06-26,44.960540771484375
2019-06-27,45.65536117553711
2019-06-28,46.26332473754883
2019-07-01,46.292274475097656
2019-07-02,45.40203857421875
2019-07-03,45.29347610473633
2019-07-04,45.36585235595703
2019-07-05,45.278995513916016
2019-07-08,45.30071258544922
2019-07-09,43.79526901245117
2019-07-10,43.51300048828125
2019-07-11,43.064266204833984
2019-07-12,43.58538055419922
2019-07-15,44.171630859375
2019-07-16,44.663787841796875
2019-07-17,44.03411865234375
2019-07-18,43.737369537353516
2019-07-19,44.00516891479492
2019-07-22,44.33809280395508
2019-07-23,46.08238220214844
2019-07-24,46.21989822387695
2019-07-25,45.42375183105469
2019-07-26,44.830257415771484
2019-07-29,45.02568054199219
2019-07-30,43.744606018066406
2019-07-31,43.80974578857422
2019-08-01,43.93278884887695
2019-08-02,42.1306037902832
2019-08-05,40.972572326660156
2019-08-06,40.91466522216797
2019-08-07,41.09561538696289
2019-08-08,42.33325958251953
2019-08-09,42.07270050048828
